date,SPY,IEF,GLD,FIXTURE_PROXY
2007-01-02,-0.0080000000,-0.0045000000,-0.0073333333,-0.0068833333
2007-01-03,-0.0070000000,-0.0030000000,-0.0040000000,-0.0055000000
2007-01-04,-0.0060000000,-0.0015000000,-0.0006666667,-0.0041166667
2007-01-05,-0.0050000000,0.0000000000,0.0026666667,-0.0027333333
2007-01-08,-0.0040000000,0.0015000000,0.0060000000,-0.0013500000
2007-01-09,-0.0030000000,0.0030000000,-0.0060000000,-0.0015000000
2007-01-10,-0.0020000000,0.0045000000,-0.0026666667,-0.0001166667
2007-01-11,-0.0010000000,-0.0035000000,0.0006666667,-0.0015833333
2007-01-12,0.0000000000,-0.0020000000,0.0040000000,-0.0002000000
2007-01-15,0.0010000000,-0.0005000000,0.0073333333,0.0011833333
